ProductID,Name,Category,Price,Quantity,MinStock,RestockQty,StockAlert
P001,Laptop,Electronics,1250.00,15,3,0,-
P002,Mouse,Electronics,29.99,65,10,0,-
P003,Keyboard,Electronics,89.50,4,5,0,System Low Stock
P004,Monitor,Electronics,340.00,8,2,0,-
P005,Headphones,Electronics,55.00,0,5,0,System Out of Stock
P006,Hub,Electronics,45.00,16,5,0,-
P007,Rice,Groceries,18.50,120,20,0,-
P008,Milk,Groceries,3.25,2,15,0,System Low Stock
P009,Oil,Groceries,14.99,35,8,0,-
P010,Chair,Furniture,210.00,6,2,0,-
P011,Desk,Furniture,380.00,1,3,5,Staff Reported
P012,Bottle,Lifestyle,16.00,45,10,0,-
P013,Purifier,Home,129.00,0,4,10,Staff Reported
P014,Machine,Home,195.00,12,3,0,-
P015,Paper,Stationery,6.50,100,15,0,-
